57BTABBO 999983801  1  177 71151177                                             
57BTABBO 999983801  2  167 69137167                                             
57BTABBO 999983801  3  147 71130147                                             
57BTABBO 999983791  4  171 63105157171                                          
57BTABBO 999983801  5  159 60115159                                             
57BTABBO 999983801  6  167 68131167                                             
57BTABBO 999983791  7  159 62110133159                                          
57BTABBO 999983801  8  159 96152159                                             
57BTABBO 999983801  9  154 70133154                                             
57BTABBO 999983811 10  112 75112                                                
57BTABBO 999983811 11  115 76115                                                
57BTABBO 999983811 12  112 76112                                                
57BTABBO 999983811 13  113 78113                                                
57BTABBO 999983811 14  114 74114                                                
57BTABBO 999983811 15  117 75117                                                
57BTABBO 999983811 16  103 70103                                                
57BTABBO 999983811 17  109 74109                                                
57BTABBO 999983811 18  108 70108                                                
57BTABBO 999983801 19  136 62108136                                             
57BTABBO 999983811 20  115 76115                                                
57BTABBO 999983811 21  107 70107                                                
57BTABBO 999983811 22  113 69113                                                
57BTABBO 999983811 23  113 74113                                                
57BTABBO 999983811 24  117 74117                                                
57BTABBO 999983811 25  105 67105                                                
57BTABBO 999983801 26  131 75124131                                             
57BTABBO 999983801 27  138 70116138                                             
57BTABBO 999983801 28  168 73133168                                             
57BTABBO 999983801 29  166 68129166                                             
57BTABBO 999983781 30 +222 56 94140194218                                       
57BTABBO 999983801 31  142 66120142                                             
57BTABBO 999983801 32  141 65128141                                             
57BTABBO 999983801 33  147 67110147                                             
57BTABBO 999983801 34  134 68118134                                             
57BTABBO 999983801 35  136 68120136                                             
57BTABBO 999983801 36  147 72127147                                             
57BTABBO 999983801 37  136 78120136                                             
57BTABBO 999983801 38  134 66116134                                             
57BTABBO 999983801 39  142 68126142                                             
57BTABBO 999983801 40  143 69127143                                             
57BTABBO 999983801 41  146 74129146                                             
57BTABBO 999983811 42  130 80130                                                
57BTABBO 999983801 43  136 67119136                                             
57BTABBO 999983801 44  143 73134143                                             
57BTABBO 999983801 45  149 72119149                                             
57BTABBO 999983801 46  147 66122147                                             
57BTABBO 999983800 47  169 64130169                                             
