57BTABBO0929987851  1  136 57136                                                
57BTABBO0929987841  2  182 83147182                                             
57BTABBO0929987841  3  174 84139174                                             
57BTABBO0929987841  4  193 94154193                                             
57BTABBO0929987831  5  206 81141168206                                          
57BTABBO0929987840  6  186 90144186                                             
57BTABBO0929987831  7  171 74116147171                                          
57BTABBO0929987841  8  172 93142172                                             
57BTABBO0929987841  9  177 84146177                                             
57BTABBO0929987840 10  199 86156199                                             
57BTABBO0929987851 11  139 68139                                                
57BTABBO0929987841 12  193 74148193                                             
57BTABBO0929987830 13  202 72119163202                                          
57BTABBO0929987830 14  223 67118175223                                          
57BTABBO0929987830 15  232 83138179232                                          
57BTABBO0929987841 16  155 67120155                                             
57BTABBO0929987851 17  179 98179                                                
57BTABBO0929987841 19  172 92148172                                             
57BTABBO0929987840 20  187 87141187                                             
57BTABBO0929987840 21  183 78139183                                             
57BTABBO0929987841 22  186 90153186                                             
57BTABBO0929987841 23  172 77126172                                             
57BTABBO0929987851 24 +145 72135                                                
57BTABBO0929987831 25  199 77126160199                                          
57BTABBO0929987841 26  174 88136174                                             
57BTABBO0929987831 27  206 72121171206                                          
57BTABBO0929987831 28  182 74112150182                                          
57BTABBO0929987831 30 +177 61102132175                                          
57BTABBO0929987841 31 +177 73143174                                             
57BTABBO0929987851 32  136 67136                                                
57BTABBO0929987841 33  172 81139172                                             
57BTABBO0929987850 34  142 73142                                                
57BTABBO0929987841 35  183 89148183                                             
57BTABBO0929987831 36  187 70117154187                                          
57BTABBO0929987840 37  146 63117146                                             
57BTABBO0929987821 39  193 68106137158193                                       
57BTABBO0929987841 40  178 81147178                                             
57BTABBO0929987841 41  184 79143184                                             
57BTABBO0929987841 42  193 90147193                                             
57BTABBO0929987831 43  179 78113147179                                          
57BTABBO0929987831 44  185 73120156185                                          
57BTABBO0919987850 45  149 72149                                                
57BTABBO0919987830 46  201 80124166201                                          
57BTABBO0919987830 47 +189 84126156184                                          
57BTABBO0919987830 48  215 79125176215                                          
57BTABBO0919987830 49  228 79133186228                                          
57BTABBO0919987851 50  150 80150                                                
57BTABBO0919987840 51  181 75133181                                             
57BTABBO0919987831 52  188 80126155188                                          
57BTABBO0919987851 53  143 67143                                                
57BTABBO0919987841 54  184 91147184                                             
57BTABBO0919987840 55  205 87159205                                             
57BTABBO0919987831 56  172 79115136172                                          
57BTABBO0919987831 57  190 81127162190                                          
57BTABBO0919987840 58  202 84152202                                             
57BTABBO0919987840 59  197 87147197                                             
57BTABBO0919987831 60  173 55 84148173                                          
57BTABBO0919987841 61  175 89147175                                             
57BTABBO0919987831 62  186 73122160186                                          
57BTABBO0939987840 63  181 73139181                                             
57BTABBO0939987841 64  182 82143182                                             
57BTABBO0939987850 65  155 81155                                                
57BTABBO0939987830 66  198 72119160198                                          
57BTABBO0939987831 67  193 95123155193                                          
57BTABBO0939987831 68  188 71114157188                                          
57BTABBO0939987841 69 +191 91155189                                             
57BTABBO0939987840 70  181 86142181                                             
57BTABBO0949987830 71  258 81129194258                                          
57BTABBO0949987830 72  191 76111159191                                          
57BTABBO0949987830 73  243 78129186243                                          
57BTABBO0949987840 74  205 85148205                                             
57BTABBO0949987841 75  197 94164197                                             
57BTABBO0949987840 76  193 75148193                                             
57BTABBO0949987851 77  149 78149                                                
57BTABBO0949987831 78  208 86130167208                                          
57BTABBO0949987831 80  178 74112151178                                          
57BTABBO0949987831 81  202 65111161202                                          
57BTABBO0949987841 82  188 87153188                                             
57BTABBO0949987851 83  138 62138                                                
57BTABBO0949987830 84  185 68115152185                                          
57BTABBO0949987840 85  210 81132210                                             
57BTABBO0949987830 86  182 60 94149182                                          
57BTABBO0949987830 87  200 88132169200                                          
57BTABBO0949987841 88  177 75136177                                             
57BTABBO0959987851 90  129 55129                                                
57BTABBO0919987831 91  170 64 98142170                                          
57BTABBO0919987830 92  185 55 87146185                                          
57BTABBO0919987831 93  185 73118149185                                          
57BTABBO0919987841 94  172 72137172                                             
57BTABBO0919987841 95  187 89142187                                             
57BTABBO0919987851 96  125 63125                                                
57BTABBO0919987851 97  128 61128                                                
57BTABBO0919987851 98  130 64130                                                
57BTABBO0919987851 99 +135 60129                                                
57BTABBO0919987851100  144 76144                                                
57BTABBO0919987851101  129 60129                                                
57BTABBO0919987841103 +170 83138167                                             
57BTABBO0919987841104  173 80138173                                             
57BTABBO0919987851105  157 90157                                                
57BTABBO0919987840106  190 92151190                                             
57BTABBO0919987841107  179 86143179                                             
57BTABBO0919987841109  170 83140170                                             
57BTABBO0919987830110  209 78129169209                                          
57BTABBO0919987800111  353 62109164216259310353                                 
57BTABBO0949987851112  139 66139                                                
57BTABBO0949987841113  173 84139173                                             
57BTABBO0949987851114  144 76144                                                
57BTABBO0949987841116  183 94146183                                             
57BTABBO0949987841117  181 98147181                                             
57BTABBO0949987841118  178 86147178                                             
57BTABBO0949987841119  192 79155192                                             
57BTABBO0949987831120  202 63114164202                                          
57BTABBO0949987830121  190 72129151190                                          
57BTABBO0949987831122  195 82127168195                                          
57BTABBO0949987831123  175 74121148175                                          
57BTABBO0949987840124  184 84147184                                             
57BTABBO0949987841125  169 84139169                                             
57BTABBO0949987830126  197 73124171197                                          
57BTABBO0949987830127  228 73127180228                                          
57BTABBO0949987841128  183 91144183                                             
57BTABBO0949987830129  182 58109134182                                          
57BTABBO0949987840130  197 90147197                                             
57BTABBO0949987831131  176 79120145176                                          
57BTABBO0949987840132  192 84138192                                             
57BTABBO0949987840133  195 92148195                                             
57BTABBO0949987831134  182 78127154182                                          
57BTABBO0949987830135  207 71124166207                                          
57BTABBO0949987830136  192 76120161192                                          
57BTABBO0949987841137  174 82137174                                             
57BTABBO0949987840138  202 91154202                                             
57BTABBO0949987841139  190 92148190                                             
57BTABBO0949987840140  203 92156203                                             
57BTABBO0949987830141  203 66104161203                                          
57BTABBO0949987840143  189 82149189                                             
57BTABBO0949987831144  199 81119164199                                          
57BTABBO0949987830145  230 86128182230                                          
57BTABBO0939987840146  193 86142193                                             
57BTABBO0939987851147  142 69142                                                
57BTABBO0939987851148  141 69141                                                
57BTABBO0939987840149  181 87143181                                             
57BTABBO0939987840150  196 85141196                                             
57BTABBO0939987831151  201 68118162201                                          
57BTABBO0939987841152  189 90154189                                             
57BTABBO0939987841153  184 88141184                                             
57BTABBO0939987831155  196 81131161196                                          
57BTABBO0939987841156  144 69115144                                             
57BTABBO0939987841157  189 89154189                                             
57BTABBO0939987841158  185 87155185                                             
57BTABBO0939987851159  140 72140                                                
57BTABBO0939987841160 +175 82131172                                             
57BTABBO0959987850161  142 75142                                                
57BTABBO0959987850162  144 63144                                                
57BTABBO0959987850163  128 63128                                                
57BTABBO0959987850165 +158 84152                                                
57BTABBO0959987840167  145 67132145                                             
57BTABBO0959987850168  136 64136                                                
57BTABBO0959987840170  169 81132169                                             
57BTABBO0959987830171  227 94168211227                                          
57BTABBO0959987830172  192 84129168192                                          
57BTABBO0959987840173  193 87148193                                             
57BTABBO0959987840174  182 85141182                                             
57BTABBO0929987840175  184 84146184                                             
57BTABBO0929987840176  193 93150193                                             
57BTABBO0929987840177  193 92150193                                             
57BTABBO0929987830178  196 56 85150196                                          
57BTABBO0929987840179  195 88148195                                             
57BTABBO0929987830180  218 75121176218                                          
57BTABBO0929987830181  249 72141187249                                          
57BTABBO0929987840182 +186 83133178                                             
57BTABBO0929987840183  174 80140174                                             
57BTABBO0929987830184  193 54 91149193                                          
57BTABBO0929987810186  248 79128174215227248                                    
57BTABBO0929987840187  203 89154203                                             
57BTABBO0929987820188  249 65127182225249                                       
57BTABBO0929987810189  249 68119152201231249                                    
57BTABBO0929987800190  247 64105153193226235247                                 
57BTABBO0929987810191  234 89141181215223234                                    
57BTABBO0929987820192  213 73138190202213                                       
57BTABBO0939987820193  250 74129188234250                                       
57BTABBO0939987800195  247 69107164204231239247                                 
57BTABBO0939987810196  246 84135174207226246                                    
57BTABBO0939987820197  207 66114168187207                                       
57BTABBO0939987790198  377 62127160192220281312377                              
57BTABBO0919987800200  253 60110154190230243253                                 
57BTABBO0919987840201  203 83148203                                             
57BTABBO0919987800202  215 64 98136171195206215                                 
57BTABBO0949987820203  252 75151200239252                                       
57BTABBO0949987840204  233 78150233                                             
57BTABBO0949987840205  192 84141192                                             
57BTABBO0949987850206  139 67139                                                
57BTABBO0949987850207  132 61132                                                

