57FMABBO0200177710001  237 63 90132176213237
57FMABBO0200177720002  202 73107151186202
57FMABBO0200177720003  205 62104144185205
57FMABBO0200177710004  205 61 89116138192205
57FMABBO0200177720005  237 62129174223237
57FMABBO0200177720006  227 63118163206227
57FMABBO0200177720007  223 68116157204223
57FMABBO0200177720008  218 82131167197218
57FMABBO0200177720009  216 72104144189216
57FMABBO0200177720010  227 76139179208227
57FMABBO0200177720011  227 60 94148197227
57FMABBO0200177720012  223 68111158199223
57FMABBO0200177720013  227 63102153200227
57FMABBO0200177710014  218 60 86131172202218
57FMABBO0200177720015  232 64126178216232
57FMABBO0200177720016  211 61111153193211
57FMABBO0200177720017  244 71129173214244
57FMABBO0200177720018  211 63119160195211
57FMABBO0200177720019  211 69114148188211
57FMABBO0200177720020  214 65106147183214
57FMABBO0200177720021  247 68113173220247
57FMABBO0200177720022  240 72123167212240
57FMABBO0200177720023  205 69116157187205
57FMABBO0200177720024  228 64116164204228
57FMABBO0200177720025  209 61116150189209
57FMABBO0200177720026  230 66117175207230
57FMABBO0200177720027  238 60121168201238
57FMABBO0200177710028  234 74109144181211234
57FMABBO0200177720029  247 68123172217247
57FMABBO0200177710030  255 67119158201221255
57FMABBO0200177720031  230 75123150193230
57FMABBO0200177720032  225 62125165200225
57FMABBO0200177720033  239 57109167210239
57FMABBO0200177720034  239 67124169212239
57FMABBO0200177720035  205 52109131180205
57FMABBO0200177720036  210 67120164195210
57FMABBO0200177720037  232 67116165203232
57FMABBO0200177710038  223 59123155168205223
57FMABBO0200177720039  230 60118166212230
57FMABBO0200177690040  248 64 98130165188218244248
57FMABBO0200177720041  231 60115165204231
57FMABBO0200177730042  195 65128173195
57FMABBO0200177720043  235 58118141200235
57FMABBO0200177720044  183 48 88131168183
57FMABBO0200177710045  245 57 87117167213245
57FMABBO0200177720046  210 64113155193210
57FMABBO0200177720047  203 54 99144195203
57FMABBO0200177720048  241 82141178220241
57FMABBO0200177720049  223 71121166207223
57FMABBO0200177720050  188 52 89127167188
