57FMABBO0200180730001  242 74112146187206221242
57FMABBO0200180750002  206 69110150184206
57FMABBO0200180740003  234 79117155180202234
57FMABBO0200180740004  203 76126158181194203
57FMABBO0200180740005  197 67117150170179197
57FMABBO0200180720006  238 53 87125155190213224238
57FMABBO0200180740007  195 69113150172181195
57FMABBO0200180740008  191 74110142162179191
57FMABBO0200180750009  210 73108144177210
57FMABBO0200180740010  240 77136176191214240
57FMABBO0200180740011  221 72109154179203221
57FMABBO0200180750012  199 74109145169199
57FMABBO0200180740013  240 77134179206224240
57FMABBO0200180740014  235 73130175205217235
57FMABBO0200180720015  243 67112156195218223233243
57FMABBO0200180740016  245 76119168203226245
57FMABBO0200180720017  222 74114141175188201210222
57FMABBO0200180740018  217 74117161185198217
57FMABBO0200180740019  220 71114154169190220
57FMABBO0200180740020  225 71128160186207225
57FMABBO0200180750021  203 69122165192203
57FMABBO0200180740022  208 71122154180197208
57FMABBO0200180740023  190 68111140159177190
57FMABBO0200180740024  217 68102146175195217
57FMABBO0200180740025  238 67123148181206238
57FMABBO0200180740026  192 71 99138161176192
57FMABBO0200180720027  255 66 99143195217234244255
57FMABBO0200180740028  228 71112155184215228
57FMABBO0200180750029  248 81124177218248
57FMABBO0200180740030  193 65111145164176193
57FMABBO0200180740031  225 72105150195211225
57FMABBO0200180730032  245 76126170200220234245
57FMABBO0200180740033  209 71126157180198209
57FMABBO0200180740034  220 67114150181199220
57FMABBO0200180760035  210 69109157210
57FMABBO0200180740036  214 74118159186200214
57FMABBO0200180740037  203 74115150174189203
57FMABBO0200180740038  183 72107134158169183
57FMABBO0200180740039  210 67123154179195210
57FMABBO0200180720040  228 77 98134164193205219228
57FMABBO0200180720041  224 64104140169186201212224
57FMABBO0200180740042  193 72118150163173193
57FMABBO0200180730043  229 70105146187206218229
57FMABBO0200180740044  219 72110145177194219
57FMABBO0200180730045  203 72102124147172193203
57FMABBO0200180750046  200 81126162186200
57FMABBO0200180730047  222 68 88128161186206222
57FMABBO0200180750048  181 67 96139158181
57FMABBO0200180740049  189 55 83132154172189
57FMABBO0200180730050  200 63 84109140163178200
57FMABBO0200180740051  211 78122153177194211
57FMABBO0200180740052  215 78121152185209215
57FMABBO0200180720053  261 87137173210228238247261
57FMABBO0200180740054  193 75126154178190193
57FMABBO0200180730055  214 60 85139169187200214
57FMABBO0200180740056  199 73106143167183199
57FMABBO0200180750057  248 73116174213248
57FMABBO0200180740058  239 78140198223232239
57FMABBO0200180740059  204 76111149173188204
57FMABBO0200180760060  156 70104135156
57FMABBO0200180750061  229 76123167205229
57FMABBO0200180740063  206 63105141160183206
57FMABBO0200180750064  222 68112153191222
57FMABBO0200180740065  190 64103136158176190
57FMABBO0200180740066  232 70147186213220232
57FMABBO0200180740067  202 74112148169186202
57FMABBO0200180740068  206 70112146179190206
57FMABBO0200180730069  184 63 94129151164172184
57FMABBO0200180750070  195 75118151172195
57FMABBO0200180730071  232 73115158184204218232
57FMABBO0200180750072  188 79120153176188
57FMABBO0200180740073  213 72119153175197213
57FMABBO0200180740074  228 65122166195214228
57FMABBO0200180730075  234 76105151190216224234
57FMABBO0200180750076  178 63 99134153178
57FMABBO0200180740077  190 58 95133159172190
57FMABBO0200180750078  203 68124153179203
57FMABBO0200180730079  218 73112157187205210218
57FMABBO0200180740080  183 61 96122152169183
57FMABBO0200180740081  230 83136173198215230
57FMABBO0200180740082  207 68112147175190207
57FMABBO0200180740083  211 69117155180196211
57FMABBO0200180730084  239 69100128148193223239
57FMABBO0200180740085  244 70115160190215244
57FMABBO0200180740086  245 79107149188224245
57FMABBO0200180730087  253 64108139186212231253
57FMABBO0200180740088  201 68113148173189201
57FMABBO0200180740089  178 74111138156163178
57FMABBO0200180740090  221 68117156183202221
57FMABBO0200180740091  243 73115156194218243
57FMABBO0200180740092  209 67102131163186209
57FMABBO0200180720093  246 66107164200216228238246
57FMABBO0200180740094  222 66107156184201222
57FMABBO0200180740095  222 73114147190211222
57FMABBO0200180740096  207 65108136163182207
57FMABBO0200180740097  192 63 85123151170192
57FMABBO0200180740098  245 70111162207228245
57FMABBO0200180750099  188 72109138155188
57FMABBO0200180740100  227 80137175197210227
57FMABBO0200180740101  222 58109157187207222
57FMABBO0200180740102  226 70111153184207226
57FMABBO0200180740103  215 52 87127163193215
57FMABBO0200180730104  213 60 87131158180190213
57FMABBO0200180740105  217 78129162179198217
57FMABBO0200180740106  223 69119153179200223
57FMABBO0200180730107  232 55 90114165191218232
57FMABBO0200180740108  234 76131172203221234
57FMABBO0200180740109  196 63 95128158178196
57FMABBO0200180720110  247 78127168201218233244247
57FMABBO0200180730111  234 71100134162196218234
57FMABBO0200180720112  246 65 98136175204230238246
57FMABBO0200180740113  240 70133175201222240
57FMABBO0200180720114  242 78115154190216227234242
57FMABBO0200180750115  176 71 99127152176
57FMABBO0200180740116  211 76114149173194211
