57FMABBO0200181780001  161 60121161
57FMABBO0200181740002  247 62108149187206223247
57FMABBO0200181740003  216 63111142161174191216
57FMABBO0200181750004  184 64107131149166184
57FMABBO0200181730005  211 68105129156175187199211
57FMABBO0200181740006  200 61 96131151159181200
57FMABBO0200181750007  249 61112150178212249
57FMABBO0200181740008  198 54100125159177187198
57FMABBO0200181770009  169 50 94145169
57FMABBO0200181740010  225 56102152174201214225
57FMABBO0200181760011  203 49 85147167203
57FMABBO0200181750012  230 66111163187208230
57FMABBO0200181760013  180 74135163170180
57FMABBO0200181750014  200 56105135151184200
57FMABBO0200181750015  210 68106154170184210
57FMABBO0200181750016  205 71127153179189205
57FMABBO0200181750018  195 72104130149172195
57FMABBO0200181750020  220 67 97136156183220
57FMABBO0200181750021  210 63101127154190210
57FMABBO0200181750022  220 57 95129157182220
57FMABBO0200181750023  200 55113137157176200
57FMABBO0200181750024  213 61108145159186213
57FMABBO0200181740025  220 51 92120151174195220
57FMABBO0200181750026  222 64108144169195222
57FMABBO0200181740027  226 56 88131163191216226
57FMABBO0200181760028  212 61 97154184212
57FMABBO0200181750029  235 66115149173204235
57FMABBO0200181750030  193 59102126147171193
57FMABBO0200181730031  220 66108131154182193210220
57FMABBO0200181740032  226 67112149169185205226
57FMABBO0200181740033  231 70107145176189208231
57FMABBO0200181750034  195 64 97126142165195
57FMABBO0200181750035  191 64126143153165191
57FMABBO0200181750036  191 57106132152172191
57FMABBO0200181750037  195 68107139166186195
57FMABBO0200181750038  190 56105128145170190
57FMABBO0200181740039  182 70106122136147159182
57FMABBO0200181740040  215 64104126155167198215
57FMABBO0200181750041  176 74115128153166176
57FMABBO0200181750042  198 63112148166183198
57FMABBO0200181760043  192 64107144162192
57FMABBO0200181750051  208 59113143172187208
57FMABBO0200181730052  214 63 92122159178189202214
57FMABBO0200181740053  190 57 94135156163176190
57FMABBO0200181730054  235 68107157180195203213235
57FMABBO0200181740055  208 66102138158175195208
57FMABBO0200181750056  223 66105150188202223
57FMABBO0200181740057  226 75115151169180197226
57FMABBO0200181740058  242 74111153182200222242
57FMABBO0200181750059  221 65110138161191221
57FMABBO0200181740060  223 63111137165183200223
57FMABBO0200181740061  205 60 97144161175190205
57FMABBO0200181740062  198 58102130151168185198
57FMABBO0200181740063  220 71130160174189202220
57FMABBO0200181730064  240 59 94114142180201224240
57FMABBO0200181730065  231 66 94117154179194208231
57FMABBO0200181740066  246 58120158185205227246
57FMABBO0200181750067  238 63 90132162203238
57FMABBO0200181750068  237 63121158184211237
57FMABBO0200181740069  216 65114145165183200216
57FMABBO0200181740070  213 74100135160174188213
57FMABBO0200181740071  228 56 92121142161192228
57FMABBO0200181740072  249 57111154194219236249
57FMABBO0200181740073  221 59112144167186201221
57FMABBO0200181730074  245 71123163189207222236245
57FMABBO0200181740075  236 56130166180194216236
57FMABBO0200181730076  230 70107137164188207220230
57FMABBO0200181760077  181 71124155166181
57FMABBO0200181750078  221 68111148175199221
57FMABBO0200181740079  200 53115149168178185200
57FMABBO0200181730080  241 72116154185204218225241
57FMABBO0200181750081  241 73114148181212241
57FMABBO0200181740082  215 64110128143168186215
57FMABBO0200181740083  206 70 98113139159177206
57FMABBO0200181740084  201 59 86115142161183201
57FMABBO0200181740085  237 62 97125160183209237
57FMABBO0200181740086  216 61115148169180200216
57FMABBO0200181750087  236 69117154193213236
57FMABBO0200181750088  220 77123163192213220
57FMABBO0200181740089  245 69102156182204222245
57FMABBO0200181740090  215 68118150169179197215
57FMABBO0200181740091  224 68120151170179204224
57FMABBO0200181740092  221 57 93123158181198221
57FMABBO0200181740093  235 60100139166187209235
57FMABBO0200181740094  219 64 94143171183198219
57FMABBO0200181730095  236 67122157182202220229236
57FMABBO0200181740096  211 53102137162181199211
57FMABBO0200181740097  235 68117149172189210235
57FMABBO0200181740098  250 75104137167191216250
57FMABBO0200181740099  240 63110161180194211240
57FMABBO0200181750100  233 51110149196216233
57FMABBO0200181730101  250 58 91121165196214237250
57FMABBO0200181750102  221 65104149175196221
57FMABBO0200181730103  234 54 89129164186199213234
57FMABBO0200181750104  241 77125153196225241
57FMABBO0200181740105  225 53 97137165179202225
57FMABBO0200181740106  204 62104134159173186204
57FMABBO0200181740107  249 68105143187209236249
57FMABBO0200181740108  240 69119156188207225240
57FMABBO0200181740109  245 60121165187206219245
57FMABBO0200181740110  246 61101141183201223246
57FMABBO0200181740111  221 79103129155178195221
57FMABBO0200181740112  186 51 90127143155172186
57FMABBO0200181750113  210 80118154177200210
57FMABBO0200181740115  237 69107147175194216237
57FMABBO0200181720116  250 59104140178196209217225250
57FMABBO0200181740117  220 68 96121158182197220
57FMABBO0200181740119  208 52 85118152180199208
57FMABBO0200181730120  224 78109140165181202212224
57FMABBO0200181750121  225 67100134161191225
57FMABBO0200181740122  235 57119157182193210235
57FMABBO0200181751123  245 65121162187215245
57FMABBO0200181730124  230 67110136171189198214230
57FMABBO0200181730125  242 67 97120152182202220242
57FMABBO0200181760126  198 65 98133176198
57FMABBO0200181740127  210 67100128148163187210
57FMABBO0200181740128  210 67103138154170188210
57FMABBO0200181760129  185 61 94125153185
57FMABBO0200181740130  210 50 84161192200205210
