Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Slumpmässigt urval;1988;;K009;1;141;Hane;2;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;60;95;;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;2;136;Hona;1;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;79;;;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;4;175;Hona;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;61;103;135;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;5;267;Hona;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;73;118;150;199;228;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;6;279;Hane;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;81;126;158;217;234;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;7;253;Hona;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;72;119;174;207;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;8;221;Hane;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;67;106;139;167;187;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;10;219;Hane;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;65;96;151;180;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;11;277;Hona;6;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;60;99;138;171;209;233;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;12;291;Hona;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;77;120;178;223;256;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;13;274;Hane;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;67;116;160;206;237;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;14;275;Hona;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;77;120;154;202;233;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;15;284;Hona;6;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;59;91;138;171;209;241;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;16;263;Hona;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;60;127;163;201;222;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;17;257;Hona;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;81;141;178;207;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;18;256;Hona;6;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;58;95;129;168;208;224;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;19;266;Hane;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;71;125;160;198;224;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;20;295;Hona;6;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;66;102;138;179;220;248;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;21;286;Hona;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;75;118;158;205;241;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;22;294;Hona;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;65;125;164;220;258;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;23;236;Hona;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;66;120;144;180;203;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;24;287;Hona;6;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;60;93;170;196;234;257;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;25;248;Hane;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;61;120;176;212;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;26;186;Hona;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;61;113;139;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;27;215;Hane;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;61;108;156;177;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;28;221;Hona;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;64;111;159;185;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;29;224;Hona;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;59;108;151;178;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;30;251;Hane;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;63;127;156;194;220;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;31;204;Hane;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;58;111;158;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;32;192;Hona;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;48;94;133;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;33;248;Hane;5;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;57;114;145;184;215;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;34;194;Hona;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;53;112;149;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;35;186;Hona;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;61;103;138;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;36;236;Hane;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;68;114;177;203;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;37;227;Hona;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;73;110;149;178;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;38;195;Hona;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;54;79;103;138;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;39;200;Hane;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;62;104;141;165;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;40;218;Hane;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;77;118;155;185;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;41;203;Hane;4;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;54;93;138;165;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;42;176;Hane;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;68;97;132;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;43;187;Hona;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;58;108;143;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;44;145;Hane;2;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;57;98;;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;1988;;K009;45;199;Hane;3;;;;Kustöversiktsnät augusti -Pilotfiske;;Holmön;JA;;;64;123;155;;;;;;;;;;;;;;;;;
