Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;1;167;Hona;4;;;;Provtagning abborre;;Kvädöfjärden;JA;;;59;109;139;167;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;2;164;Hona;3;;;;Provtagning abborre;;Kvädöfjärden;JA;;;67;122;164;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;3;239;Hona;10;;;;Provtagning abborre;;Kvädöfjärden;JA;;;61;85;109;134;174;198;204;220;229;239;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;4;248;Hona;11;;;;Provtagning abborre;;Kvädöfjärden;JA;;;65;89;135;153;171;184;197;217;236;243;248;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;5;231;Hona;7;;;;Provtagning abborre;;Kvädöfjärden;JA;;;64;98;136;162;188;214;231;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;6;236;Hona;6;;;;Provtagning abborre;;Kvädöfjärden;JA;;;66;107;132;176;215;236;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;7;242;Hona;7;;;;Provtagning abborre;;Kvädöfjärden;JA;;;70;124;163;192;226;236;242;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;8;234;Hona;6;;;;Provtagning abborre;;Kvädöfjärden;JA;;;76;125;149;196;219;234;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;9;238;Hona;6;;;;Provtagning abborre;;Kvädöfjärden;JA;;;72;111;130;180;214;238;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1978;1978-05-17;K010;10;251;Hona;7;;;;Provtagning abborre;;Kvädöfjärden;JA;;;71;102;132;158;189;235;251;;;;;;;;;;;;;
