Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;1;221;Hona;7;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;66;117;143;166;185;197;221;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;2;232;Hona;7;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;68;113;142;170;188;222;232;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;3;186;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;74;103;136;176;186;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;4;204;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;63;107;165;204;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;5;214;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;69;103;169;214;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;6;221;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;78;116;142;198;221;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;7;224;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;66;118;152;191;224;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;8;205;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;58;93;126;185;205;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;9;206;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;81;122;178;206;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;10;182;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;62;101;164;182;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;11;192;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;60;98;162;192;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;12;178;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;66;92;146;178;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;13;181;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;67;102;161;181;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;14;232;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;66;117;157;208;232;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;15;156;Hona;3;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;70;115;156;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;16;176;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;58;93;158;176;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;17;172;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;61;90;150;172;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;18;156;Hona;3;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;60;121;156;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;19;182;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;56;107;134;176;182;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;21;216;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;69;106;145;170;204;216;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;22;193;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;57;94;160;193;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;23;208;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;63;105;137;152;191;208;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;24;198;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;64;93;119;170;198;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;26;208;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;60;89;124;181;208;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;27;206;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;66;111;160;200;206;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;28;177;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;59;86;154;177;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;29;226;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;57;118;161;192;226;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;30;197;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;75;112;172;197;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;31;179;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;55;82;152;179;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;32;229;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;62;112;159;224;229;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;33;203;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;58;95;141;176;203;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-05-16;K010;34;201;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;53;89;176;201;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;35;239;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;71;117;145;200;231;239;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;36;247;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;86;154;179;205;220;244;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;38;226;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;72;113;152;182;226;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;39;224;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;64;108;139;170;186;224;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;40;227;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;76;129;150;178;196;224;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;41;212;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;69;114;146;169;189;209;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;42;173;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;56;131;153;170;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;43;208;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;60;106;178;201;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;45;236;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;75;126;156;176;220;233;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;46;226;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;75;109;182;220;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;47;146;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;51;93;135;142;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;48;149;Hona;3;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;52;104;140;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;49;168;Hona;3;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;65;130;160;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;50;152;Hona;3;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;60;106;138;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;52;241;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;75;120;163;191;225;238;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;53;163;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;61;90;121;158;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;54;242;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;74;124;153;196;237;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;55;219;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;74;112;151;173;216;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;56;198;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;64;92;155;191;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;57;216;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;78;115;191;213;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;58;238;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;68;103;152;175;219;235;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;59;232;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;74;110;146;174;196;223;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;60;226;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;65;110;163;212;226;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;61;248;Hona;7;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;71;123;152;181;203;238;245;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;62;204;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;65;125;187;201;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;63;201;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;83;112;170;198;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;64;223;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;78;103;139;171;214;221;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;66;249;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;74;124;150;189;239;249;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;67;232;Hona;6;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;66;90;123;160;218;232;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;69;231;Hona;5;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;78;120;149;191;223;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1982;1982-06-16;K010;70;176;Hona;4;;;;Provtagning abborre, skrubbskädda;;Kvädöfjärden;JA;;;63;94;146;167;;;;;;;;;;;;;;;;
