Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;189;181;Hona;3;74;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;73;111;155;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;190;213;Hona;4;107;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;67;117;161;191;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;191;211;Hona;4;114;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;71;114;175;192;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;192;216;Hona;6;110;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;70;96;131;165;191;201;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;193;192;Hona;4;84;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;71;109;149;173;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;194;176;Hona;3;58;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;70;128;155;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;195;204;Hona;4;102;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;58;93;150;181;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;196;205;Hona;4;107;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;60;106;144;177;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;197;177;Hona;4;67;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;61;97;139;160;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;198;197;Hona;4;103;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;62;91;136;166;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;199;212;Hona;6;109;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;56;82;117;150;183;200;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;200;192;Hona;;83;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;201;175;Hona;4;59;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;60;93;131;156;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;202;186;Hona;4;67;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;75;117;151;173;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;203;198;Hona;4;98;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;55;86;129;176;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;204;169;Hona;4;51;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;63;103;137;154;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;205;202;Hona;4;92;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;61;97;142;173;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;206;205;Hona;4;102;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;63;103;151;182;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;207;178;Hona;3;61;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;68;116;155;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;208;187;Hona;4;72;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;67;106;145;166;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;209;176;Hona;4;58;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;63;109;154;165;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;210;196;Hona;5;92;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;58;97;137;169;184;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;211;211;Hona;4;103;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;81;115;165;199;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;212;184;Hona;4;67;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;68;107;157;171;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;213;232;Hona;5;147;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;66;93;143;182;217;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;214;242;Hona;7;189;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;65;92;123;153;182;212;232;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;215;174;Hona;4;62;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;60;104;145;161;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;216;224;Hona;6;123;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;79;108;149;186;201;219;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;217;194;Hona;4;81;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;65;112;154;167;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;218;184;Hona;4;70;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;62;107;164;171;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;219;178;Hona;4;68;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;51;88;138;168;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;220;180;Hona;4;73;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;74;109;148;167;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;221;204;Hona;4;92;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;79;115;166;191;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1986;1986-08-04;K048;222;192;Hona;4;79;;;Nätlänkar augusti;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;64;105;139;175;;;;;;;;;;;;;;;;
