Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;201;209;Hona;5;121;;;Nätlänk augusti;;Kvädöfjärden;JA;;;58;91;131;163;190;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;202;167;Hona;3;68;;;Nätlänk augusti;;Kvädöfjärden;JA;;;51;103;144;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;203;152;Hona;3;44;;;Nätlänk augusti;;Kvädöfjärden;JA;;;60;89;131;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;204;139;Hona;3;31;;;Nätlänk augusti;;Kvädöfjärden;JA;;;67;92;124;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;205;173;Hona;4;63;;;Nätlänk augusti;;Kvädöfjärden;JA;;;61;106;140;161;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;206;216;Hona;4;123;;;Nätlänk augusti;;Kvädöfjärden;JA;;;64;113;159;196;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;207;203;Hona;4;107;;;Nätlänk augusti;;Kvädöfjärden;JA;;;72;126;171;193;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;208;206;Hona;5;118;;;Nätlänk augusti;;Kvädöfjärden;JA;;;67;102;149;165;191;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;209;204;Hona;4;113;;;Nätlänk augusti;;Kvädöfjärden;JA;;;66;111;159;189;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;210;153;Hona;3;42;;;Nätlänk augusti;;Kvädöfjärden;JA;;;63;94;135;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;211;144;Hona;3;40;;;Nätlänk augusti;;Kvädöfjärden;JA;;;62;91;125;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;212;221;Hona;5;147;;;Nätlänk augusti;;Kvädöfjärden;JA;;;61;113;161;188;209;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;213;174;Hona;3;72;;;Nätlänk augusti;;Kvädöfjärden;JA;;;68;105;151;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;214;242;Hona;4;183;;;Nätlänk augusti;;Kvädöfjärden;JA;;;70;137;184;222;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;215;177;Hona;3;67;;;Nätlänk augusti;;Kvädöfjärden;JA;;;68;94;142;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;216;163;Hona;3;53;;;Nätlänk augusti;;Kvädöfjärden;JA;;;58;96;141;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;217;155;Hona;3;49;;;Nätlänk augusti;;Kvädöfjärden;JA;;;56;89;128;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;218;166;Hona;3;59;;;Nätlänk augusti;;Kvädöfjärden;JA;;;64;91;139;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;219;162;Hona;3;52;;;Nätlänk augusti;;Kvädöfjärden;JA;;;60;93;135;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;220;173;Hona;3;64;;;Nätlänk augusti;;Kvädöfjärden;JA;;;67;109;149;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;221;202;Hona;5;101;;;Nätlänk augusti;;Kvädöfjärden;JA;;;59;102;150;179;197;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;222;243;Hona;;191;;;Nätlänk augusti;;Kvädöfjärden;JA;;;;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;223;241;Hona;;164;;;Nätlänk augusti;;Kvädöfjärden;JA;;;;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;224;223;Hona;5;153;;;Nätlänk augusti;;Kvädöfjärden;JA;;;51;106;164;195;214;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;225;163;Hona;;57;;;Nätlänk augusti;;Kvädöfjärden;JA;;;;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;226;195;Hona;4;83;;;Nätlänk augusti;;Kvädöfjärden;JA;;;58;123;145;177;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;227;166;Hona;3;59;;;Nätlänk augusti;;Kvädöfjärden;JA;;;62;104;143;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;228;218;Hona;5;120;;;Nätlänk augusti;;Kvädöfjärden;JA;;;63;123;165;187;216;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;229;208;Hona;5;118;;;Nätlänk augusti;;Kvädöfjärden;JA;;;62;105;158;173;194;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;230;239;Hona;6;167;;;Nätlänk augusti;;Kvädöfjärden;JA;;;61;94;144;189;221;230;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-30;K053;231;242;Hona;5;171;;;Nätlänk augusti;;Kvädöfjärden;JA;;;66;117;179;212;233;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-30;K053;232;177;Hona;4;78;;;Nätlänk augusti;;Kvädöfjärden;JA;;;47;79;113;154;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-30;K053;233;165;Hona;3;54;;;Nätlänk augusti;;Kvädöfjärden;JA;;;59;96;134;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-30;K053;234;163;Hona;3;51;;;Nätlänk augusti;;Kvädöfjärden;JA;;;60;102;136;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-30;K053;235;221;Hona;5;129;;;Nätlänk augusti;;Kvädöfjärden;JA;;;56;109;141;173;200;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-30;K053;236;215;Hona;5;123;;;Nätlänk augusti;;Kvädöfjärden;JA;;;63;99;165;194;206;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor maxlängd 25cm;1987;1987-07-27;K053;237;165;Hona;4;61;;;Nätlänk augusti;;Kvädöfjärden;JA;;;61;101;129;146;;;;;;;;;;;;;;;;
