Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;401;238;Hona;2;181;161;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;67;168;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;402;272;Hona;3;246;225;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;403;262;Hona;3;255;238;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;83;125;210;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;404;164;Hona;1;48;45;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;101;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;405;177;Hona;1;63;61;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;96;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;406;204;Hona;3;104;97;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;64;107;163;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;407;193;Hona;1;102;97;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;95;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;408;214;Hona;1;137;128;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;132;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;409;201;Hona;1;103;96;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;123;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;410;205;Hona;1;126;115;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;117;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;411;160;Hona;1;43;39;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;99;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;412;217;Hona;1;136;122;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;130;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;413;223;Hona;1;133;126;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;131;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;414;163;Hona;1;47;46;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;110;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;415;173;Hona;1;57;53;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;127;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;416;209;Hona;1;119;114;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;129;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;417;220;Hona;1;118;111;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;128;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;418;177;Hona;1;68;64;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-09-30;K010;419;170;Hona;1;47;44;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;115;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-01;K010;420;252;Hona;3;204;184;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;80;122;196;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-01;K010;421;215;Hona;3;115;104;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Kvädöfjärden höst;;Kvädöfjärden;JA;2;Könsstatus, vanlig fyrgradig skala;72;112;163;;;;;;;;;;;;;;;;;
