Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;1;218;Hona;2;;122;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;111;165;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;2;183;Hona;2;;65;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;93;137;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;3;173;Hona;2;;57;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;72;151;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;4;188;Hona;2;;75;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;105;158;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;5;173;Hona;2;;62;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;81;136;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;6;221;Hona;2;;128;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;108;163;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;7;222;Hona;2;;125;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;87;162;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;8;196;Hona;2;;87;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;90;148;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;9;175;Hona;2;;60;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;100;146;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;10;165;Hona;2;;47;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;84;129;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;11;190;Hona;2;;74;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;107;142;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;12;156;Hona;2;;42;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;88;114;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;13;158;Hona;2;;42;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;86;114;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;14;209;Hona;2;;98;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;108;164;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;15;220;Hona;3;;126;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;76;133;188;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;16;207;Hona;2;;104;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;113;160;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;17;175;Hona;2;;58;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;106;146;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;18;221;Hona;2;;127;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;92;168;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;19;161;Hona;2;;47;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;84;119;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;20;152;Hona;2;;38;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;83;108;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;21;177;Hona;2;;62;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;95;137;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;22;195;Hona;2;;80;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;112;150;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;23;178;Hona;2;;65;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;90;139;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;24;197;Hona;2;;88;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;106;169;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;25;174;Hona;2;;58;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;88;125;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;26;166;Hona;2;;48;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;82;123;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;27;153;Hona;2;;38;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;75;111;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;28;167;Hona;2;;49;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;98;132;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;29;232;Hona;2;;151;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;111;189;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;30;207;Hona;2;;105;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;95;154;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;31;187;Hona;2;;68;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;102;137;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;32;259;Hona;4;;210;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;73;112;179;219;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;33;259;Hona;2;;219;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;123;205;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;34;163;Hona;2;;47;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;82;125;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;35;167;Hona;2;;47;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;89;135;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;36;194;Hona;2;;77;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;95;147;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;37;243;Hona;2;;169;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;120;193;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;38;153;Hona;2;;36;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;82;112;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;39;164;Hona;2;;43;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;95;130;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;40;151;Hona;2;;34;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;78;103;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;41;153;Hona;2;;34;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;88;113;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;42;188;Hona;2;;76;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;104;141;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;43;176;Hona;2;;61;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;97;146;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;44;153;Hona;2;;38;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;87;115;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;45;153;Hona;2;;40;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;77;110;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;46;153;Hona;2;;40;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;67;109;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;47;210;Hona;2;;105;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;102;153;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;48;180;Hona;2;;67;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;94;130;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;49;173;Hona;2;;55;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;90;131;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;50;165;Hona;2;;47;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;85;126;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;51;166;Hona;2;;45;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;95;120;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;52;167;Hona;2;;48;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;94;126;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;53;282;Hona;4;;;;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;65;118;187;238;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;54;271;Hona;4;;;;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;58;117;191;252;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;55;365;Hona;7;;;;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;90;145;198;254;291;332;353;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;56;141;Hona;2;;;;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;82;106;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;57;142;Hona;2;;;;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;77;100;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser;2020;2020-08-03;K064;58;378;Hona;10;;;;Nordiska nät augusti;;Kvädöfjärden;NEJ;;;92;135;159;201;244;276;306;333;350;364;;;;;;;;;;
