Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;456;169;Hona;1;55;51;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;108;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;457;143;Hona;1;33;30;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;91;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;458;152;Hona;1;41;37;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;97;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;459;166;Hona;1;55;51;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;106;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;460;173;Hona;1;60;55;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;124;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;461;147;Hona;1;35;33;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;84;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;462;165;Hona;1;49;47;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;86;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;463;167;Hona;1;53;49;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;108;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;464;148;Hona;1;33;31;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;106;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;465;149;Hona;1;35;33;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;91;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;466;182;Hona;1;75;70;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;126;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;467;153;Hona;1;40;37;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;104;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;468;141;Hona;1;31;29;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;92;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-08;K064;469;153;Hona;1;39;38;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;79;;;;;;;;;;;;;;;;;;;
