57RAABBO 899986791  1  200 50 85113129150177200
57RAABBO 899986811  2  240 82125157201240
57RAABBO 899986811  3  185 67 94132154185
57RAABBO 899986821  4  150 53 85110150
57RAABBO 899986791  5  220 66107135155170197220
57RAABBO 899986831  6  155 74121155
57RAABBO 899986791  7  235 48101139167189212235
57RAABBO 899986801  8  195 52 86123148172195
57RAABBO 899986821  9  155 53 81121155
57RAABBO 899986821 10  180 72118151180
57RAABBO 899986781 11  230 61 92136162181199214230
57RAABBO 899986791 12  205 76116138161173178205
57RAABBO 899986801 13  175 54 91110140155175
57RAABBO 899986791 15  250 60 96127157185213250
57RAABBO 899986801 16  185 61100125143162185
57RAABBO 899986811 17  155 53 80113131155
57RAABBO 899986831 18  155 74119155
57RAABBO 899986791 19  190 49 81110127146169190
57RAABBO 899986801 20  220 54 89117146180220
57RAABBO 899986831 21  150 74106150
57RAABBO 899986821 22  180 75115146180
57RAABBO 899986801 23  175 52 89119140158175
57RAABBO 899986781 24  270 60 98141170188216243270
57RAABBO 899986821 25  150 67100123150
57RAABBO 899986821 26  165 49 93133165
57RAABBO 899986811 27  205 57103126162205
57RAABBO 899986801 28  185 49 81111137168185
57RAABBO 899986801 29  215 59 87113138175215
57RAABBO 899986801 30  195 78105128146164195
57RAABBO 899986801 31  215 56 91126155191215
57RAABBO 899986811 32  190 66 94125163190
57RAABBO 899986821 33  155 54 84109155
57RAABBO 899986821 34  145 49 84119145
57RAABBO 899986821 35  160 52 89129160
57RAABBO 899986801 36  195 53 80113139163195
57RAABBO 899986821 37  150 51 80119150
57RAABBO 899986801 38  200 47 82113142165200
57RAABBO 899986831 39  145 74110145
57RAABBO 899986801 40  210 53 83103140183210
57RAABBO 899986811 41  170 61 94113130170
57RAABBO 899986791 42  240 62 96131162192218240
57RAABBO 899986801 43  160 58 94119133145160
57RAABBO 899986821 45  145 52 79106145
57RAABBO 899986821 46  170 46 77130170
57RAABBO 899986791 47  170 64 92121139151156170
57RAABBO 899986761 48  365 76105135178218243277314344365
57RAABBO 899986821 49  190 55 88145190
57RAABBO 899986801 50  225 58 92123154196225
57RAABBO 899986801 51 +220 49 88117148190216
57RAABBO 899986781 52  290 65 97141195214238264290
57RAABBO 899986821 53  180 70102143180
57RAABBO 899986801 54  185 58 87103129160185
57RAABBO 899986781 55  220 51 89135156178195210220
57RAABBO 899986791 56  270 60 93119144176229270
57RAABBO 899986791 57  255 70122148180208238255
57RAABBO 899986801 58  175 43 73102119151175
57RAABBO 899986821 59  145 54 75109145
57RAABBO 899986801 60  205 58 86105136171205
57RAABBO 899986811 61  175 50 78116146175
57RAABBO 899986801 62  210 53 79101141176210
57RAABBO 899986801 63  195 50 84114140168195
57RAABBO 899986831 64  120 55 84120
57RAABBO 899986801 65  200 56 85116147173200
57RAABBO 899986791 66  215 41 77115144165188215
57RAABBO 899986821 67  155 65103136155
57RAABBO 899986811 68  205 79105131170205
57RAABBO 899986801 69  230 56 87120162202230
57RAABBO 899986831 70  130 46 91130
57RAABBO 899986811 71  150 67 95111127150
57RAABBO 899986831 72  140 56 96140
57RAABBO 899986821 73  180 69109138180
57RAABBO 899986801 74  240 55 94131168207240
57RAABBO 899986811 75  160 71102119136160
57RAABBO 899986801 76  250 64113151188218250
57RAABBO 899986791 77  210 50 90126151172194210
57RAABBO 899986811 78  180 55 85110146180
57RAABBO 899986811 79  215 72110132181215
57RAABBO 899986831 80  155 74102155
57RAABBO 899986821 81  175 49 89137175
57RAABBO 899986831 82  155 77126155
57RAABBO 899986821 83  145 53 92128145
57RAABBO 899986821 84  170 71102129170
57RAABBO 899986821 85  165 53 87133165
57RAABBO 899986831 86  140 79113140
57RAABBO 899986811 87  185 58 97117141185
57RAABBO 899986811 88  240 77110151199240
57RAABBO 899986811 89  220 77114155187220
57RAABBO 899986811 90  160 49 78107133160
57RAABBO 899986831 91  145 54 92145
57RAABBO 899986821 92  145 53 88108145
57RAABBO 899986811 94  225 75111150194225
57RAABBO 899986801 95  250 50102141178212250
57RAABBO 899986801 96  225 52 89122152192225
57RAABBO 899986771 97  295 67111142168184209237267295
57RAABBO 899986831 98  145 53 89145
57RAABBO 899986821 99  170 57101138170
57RAABBO 899986801100  240 56 89125165204240
57RAABBO 899986791101  195 51 87113133150172195
57RAABBO 899986831102  120 61 96120
57RAABBO 899986781103  225 50 79122149174194209225
57RAABBO 899986801104  240 63104141175210240
57RAABBO 899986821105  160 50 77124160
57RAABBO 899986781106  255 54 85120146167193228255
57RAABBO 899986801108  165 62 89 97115131165
57RAABBO 899986801109  180 57 90103121156180
57RAABBO 899986821111  160 52 79119160
57RAABBO 899986801112  230 50 91129170205230
57RAABBO 899986811113  180 56 83115137180
57RAABBO 899986811114  190 56102129167190
57RAABBO 899986811115  230 77102135187230
57RAABBO 899986811116  185 60 89115144185
57RAABBO 899986801117  160 53 80 96116136160
57RAABBO 899986801118  195 53 90104130152195
57RAABBO 899986821119  190 56111159190
57RAABBO 899986801120  220 60 98136165193220
57RAABBO 899986801121  185 56 83115146173185
57RAABBO 899986781122  310 57 85145178211250277310
57RAABBO 899986831123  140 50100140
57RAABBO 899986801124  180 51 76 99123155180
57RAABBO 899986791125  255 71103145168193223255
57RAABBO 899986811126  160 54 92108130160
57RAABBO 899986791127  190 55 93124149159174190
57RAABBO 899986791128  190 60 93121143159174190
57RAABBO 899986801129  200 53 88110132170200
57RAABBO 899986821130  135 50 75104135
57RAABBO 899986821131  155 49 77114155
57RAABBO 899986821132  155 50 85123155
57RAABBO 899986791133  270 73119153182212241270
57RAABBO 899986821134  185 61107140185
57RAABBO 899986811135  170 59 96117151170
57RAABBO 899986821136  160 54 85123160
57RAABBO 899986801137  215 53 87123161188215
57RAABBO 899986821138  170 51 80132170
57RAABBO 899986801139  195 51 85113138164195
57RAABBO 899986791140  220 49 90118143161187220
57RAABBO 899986781141  275 51 80122157190224246275
57RAABBO 899986821142  160 60 86126160
57RAABBO 899986801143  260 73108129162201260
57RAABBO 899986801144  230 47 87140162192230
57RAABBO 899986801145  200 50 78 99121165200
57RAABBO 899986831146  160 76118160
57RAABBO 899986821147  175 79121159175
57RAABBO 899986831148  140 69101140
57RAABBO 899986831149  140 76116140
57RAABBO 899986781150  225 53 86127148174197220225
57RAABBO 899986791151  225 56 97136157181206225
57RAABBO 899986801152  190 61107118129164190
57RAABBO 899986801153  185 59 99115135156185
57RAABBO 899986791154  250 54105133169200227250
