Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;501;319;Hona;3;473;409;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;2;Könsstatus, vanlig fyrgradig skala;69;165;286;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;502;317;Hona;5;410;382;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;2;Könsstatus, vanlig fyrgradig skala;64;137;182;235;290;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;503;315;Hona;2;488;450;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;2;Könsstatus, vanlig fyrgradig skala;83;254;;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;504;286;Hona;3;321;295;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;2;Könsstatus, vanlig fyrgradig skala;83;152;233;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;505;233;Hona;1;173;159;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;1;Könsstatus, vanlig fyrgradig skala;113;;;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;506;259;Hona;2;225;208;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;2;Könsstatus, vanlig fyrgradig skala;52;148;;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;507;278;Hona;3;336;303;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;2;Könsstatus, vanlig fyrgradig skala;64;138;245;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;508;251;Hona;2;208;193;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;1;Könsstatus, vanlig fyrgradig skala;73;170;;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;509;272;Hona;2;282;250;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;2;Könsstatus, vanlig fyrgradig skala;71;140;;;;;;;;;;;;;;;;;;
Abborre;Slumpmässigt urval;2007;2007-08-17;K010;510;219;Hona;2;118;110;Totalvikt exkl. mage,tarmar,gonad;Biologiska länkar Hamnefjärden sommar;;Simpevarp;JA;1;Könsstatus, vanlig fyrgradig skala;74;132;;;;;;;;;;;;;;;;;;
