Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;1;259;Hona;3;;223;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;76;149;219;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;2;225;Hona;3;;141;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;72;143;197;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;3;213;Hona;2;;110;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;84;167;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;4;232;Hona;2;;147;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;101;184;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;5;248;Hona;3;;197;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;80;150;211;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;6;274;Hona;3;;257;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;75;155;240;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;7;203;Hona;2;;89;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;66;152;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;8;212;Hona;2;;115;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;91;164;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;9;297;Hona;3;;341;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;94;178;259;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;11;207;Hona;3;;111;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;65;106;176;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;12;166;Hona;1;;56;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;96;;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;13;162;Hona;1;;48;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;93;;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;14;163;Hona;1;;50;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;89;;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;15;196;Hona;2;;103;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;77;132;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;16;168;Hona;1;;55;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;98;;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;17;205;Hona;2;;105;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;88;150;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;18;216;Hona;2;;129;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;76;160;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;19;142;Hona;1;;;;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;75;;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;20;152;Hona;1;;42;Totalvikt exkl. mage,tarmar,gonad;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;86;;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;21;117;Hona;1;;;;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;70;;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;22;120;Hona;1;;;;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;73;;;;;;;;;;;;;;;;;;;
Abborre;Stratifierat cm-klasser enl. blankett 80;2003;2003-08-18;K064;23;115;Hona;1;;;;Nordiska nät augusti;;Torhamn, Karlskrona Ö skärgård;JA;;;66;;;;;;;;;;;;;;;;;;;
