area,year,temp,model
BS,1985,6.968617550029282,area model
BS,1986,7.468588196381886,area model
BS,1987,6.217173092675707,area model
BS,1988,8.394285853458685,area model
BS,1989,9.158878131912674,area model
BS,1990,9.391984106834876,area model
BS,1991,8.590008741586272,area model
BS,1992,8.091188509864276,area model
BS,1993,7.873870131867247,area model
BS,1994,8.390979512965867,area model
BS,1995,9.306483872959229,area model
BS,1996,7.7527834271584934,area model
BS,1997,11.763608337597924,area model
BS,1998,7.266937588015822,area model
BS,1999,8.848513515198828,area model
BS,2000,8.572677079042196,area model
BS,2001,9.38578583002191,area model
BS,2002,10.819966690665701,area model
BT,1963,8.8723941637992,area model
BT,1964,8.461867717617524,area model
BT,1965,8.43230641891971,area model
BT,1966,8.428930348960103,area model
BT,1967,9.253143488212325,area model
BT,1968,8.965131049623164,area model
BT,1969,8.82623044094583,area model
BT,1970,8.575130007273192,area model
BT,1971,8.610077257264928,area model
BT,1972,9.109436219983339,area model
BT,1973,9.469727905923994,area model
BT,1974,9.329642201421493,area model
BT,1975,7.712279065656884,area model
BT,1976,7.36941270728001,area model
BT,1977,5.892301701005457,area model
BT,1978,5.865303586577094,area model
BT,1979,6.135725626698387,area model
BT,1980,7.241499703533278,area model
BT,1981,15.097168570824326,area model
BT,1982,15.183808730847636,area model
BT,1983,15.940900492944264,area model
BT,1984,16.299414001308417,area model
BT,1985,14.420446645755753,area model
BT,1986,15.363271235467526,area model
BT,1987,14.621912069611914,area model
BT,1988,15.409471555820378,area model
BT,1989,15.888403677934425,area model
BT,1990,15.50436446821402,area model
BT,1991,15.574367709954467,area model
BT,1992,16.09389412051295,area model
BT,1993,15.937421932695736,area model
BT,1994,16.564549079871156,area model
BT,1995,15.336043891787766,area model
BT,1996,14.60338147753736,area model
BT,1997,15.64952227392088,area model
BT,1998,15.69516539787172,area model
BT,1999,16.451571675382517,area model
BT,2000,15.02426560307892,area model
FB,1969,8.134073199681032,area model
FB,1970,7.841569826671394,area model
FB,1971,7.879074797937816,area model
FB,1972,8.386402555211381,area model
FB,1973,8.706856724287379,area model
FB,1974,8.685763232288082,area model
FB,1975,9.186953759582284,area model
FB,1976,7.077320202419967,area model
FB,1977,5.785070195099321,area model
FB,1978,6.365686147145201,area model
FB,1979,6.976190635170804,area model
FB,1980,6.438716233149243,area model
FB,1981,6.609579377164323,area model
FB,1982,6.31808901986617,area model
FB,1983,6.896962585294695,area model
FB,1984,8.007593462706817,area model
FB,1985,7.4270632398059995,area model
FB,1986,6.05976490240265,area model
FB,1987,5.044549172426738,area model
FB,1988,6.217025487601729,area model
FB,1989,6.0192470977219426,area model
FB,1990,6.719819947054409,area model
FB,1991,8.182777758086297,area model
FB,1992,7.973353336336778,area model
FB,1993,7.4663788986249635,area model
FB,1994,8.164604571868328,area model
FB,1995,8.10655653248335,area model
FB,1996,7.872606451255608,area model
FB,1997,9.3340058838119,area model
FB,1998,7.687057648384471,area model
FB,1999,9.869847594870524,area model
FB,2000,9.271856611238345,area model
FB,2001,9.7797494696348,area model
FB,2002,10.634345509056097,area model
FB,2003,9.258754819255323,area model
FB,2004,9.01713025625471,area model
FB,2005,9.419885829306438,area model
FB,2006,10.241104061267508,area model
FB,2007,9.033643863595392,area model
FB,2008,9.316658134067758,area model
FB,2009,9.244926476797936,area model
